Series	year	month	day	data_recorder	data_collector	boat_driver	starttime_hour	starttime_min	endtime_hour	endtime_min	site	surfacetemp_fishfinder_farenheit	depth_ft	airtemp_c	percentcloudcover	precipitation	precip_type	windspeed_kmh	wind_direction	hightide1_hour	hightide1_min	hightide1_m	lowtide1_hour	lowtide1_min	lowtide1_m	hightide2_hour	hightide2_min	hightide2_m	lowtide2_hour	lowtide2_min	lowtide2_m	tek_plants	tek_birds	tek_amphibians	tek_invertebrates	gateactivity1_type	gateactivity1_hour	gateactivity1_min	gateactvity1_notes	gateactivity2_type	gateactivity2_hour	gateactivity2_min	gateactivity2_notes	gateactivity3_type	gateactivity3_hour	gateactivity3_min	gateactivity3_notes	gateactivity4_type	gateactivity4_hour	gateactivity4_min	gateactivity4_notes	gear_type	net_material	meshsize_inch	eelpotnumber	eelpot_bait	eelpot_baittype	gps_waypoint_in	utm_in_zone	utm_in_n	utm_in_e	utm_out_n	utm_out_e	gearnumber_set	set_number	newsetnum	timein_year	timein_month	timein_day	timein_hour	timein_min	timeout_month	timeout_day	timeout_hour	timeout_min	capture	common_name	species_name	unknown_species_note	fl_cm	tl_cm	sex	weight_g	abundance	notes	notes2
1	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Nylon	3	NA	NA	NA	1	20	409449	4983299	409476	4983361	1	1	1	2017	4	7	9	37	4	7	10	10	Y	Alewife	Alosa pseudoharengus	NA	NA	29	NA	NA	1	NA	NA
2	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	2	20	409469	4983273	409747	4983393	2	2	1	2017	4	7	9	39	4	7	10	15	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	4	20	409461	4983213	NA	NA	3	3	1	2017	4	7	9	39	4	7	10	15	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	5.5	NA	NA	NA	5	20	409457	4983347	409460	4983304	4	4	1	2017	4	7	9	58	4	7	10	39	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.875	NA	NA	NA	23-4St	20	409457	4983347	409461	4983369	5	5	1	2017	4	7	9	59	4	7	10	40	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.75	NA	NA	NA	Net5St	20	409593	4983261	NA	NA	6	6	1	2017	4	7	10	0	4	7	10	41	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	Net6St	20	409589	4983249	409591	4983270	7	7	1	2017	4	7	10	18	4	7	11	10	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	NA	20	409591	4983270	NA	NA	8	8	1	2017	4	7	10	20	4	7	11	10	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Nylon	3	NA	NA	NA	007St	20	409350	4983700	409358	4983771	9	9	1	2017	4	7	10	26	4	7	11	11	Y	Rainbow Smelt	Osmerus mordax	NA	NA	19.7	NA	NA	1	NA	NA
10	2017	4	7	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	30	11	21	Tideside	39.2	NA	10.8	100	Y	Rain	18	SSE	23	29	13.3	5	5	2	11	3	13.1	17	32	1.8	Pussywillows in bloom	"Black dusks present, Canada geese flying NW, crows present, 4 eagles, one was juvenile and one male was seen leaving a nest, a black and white waterfowl was seen assumed to be a bufflehead, male pheasants seen"	NA	NA	closed	9	30	on arrival	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Nylon	3	NA	NA	NA	007St	20	409350	4983700	409358	4983771	9	9	1	2017	4	7	10	26	4	7	11	11	Y	Alewife	Alosa pseudoharengus	NA	NA	29	M	NA	1	NA	NA
11	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Nylon	3	NA	NA	NA	6	20	409379	4983740	NA	NA	1	1	1	2017	4	8	9	14	4	8	9	46	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	7	20	409470	4983255	NA	NA	2	2	1	2017	4	8	9	20	4	8	10	25	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	1.5	NA	NA	NA	7	20	409470	4983255	NA	NA	3	3	1	2017	4	8	9	20	4	8	10	25	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	5.5	NA	NA	NA	8	20	409475	4983308	NA	NA	4	4	1	2017	4	8	9	22	4	8	10	25	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.875	NA	NA	NA	9	20	409479	4983349	NA	NA	5	5	1	2017	4	8	9	24	4	8	10	25	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	2017	4	8	Lita O'Halloran	Lita O'Halloran	Darren Porter	9	10	11	57	Tideside	38.3	NA	4	75	N	NA	13	S	NA	NA	NA	5	59	1.7	11	52	13.3	18	23	1.6	"Pussywillows in bloom, willow trees are producing new shoots"	"Canada geese flying SE on arrival, adult and juvenile eagles present, ring-necked pheasants are out, crows and starlings present"	NA	NA	open	9	10	"on arrival, both gates open"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.75	NA	NA	NA	10	20	409483	4983371	NA	NA	6	6	1	2017	4	8	9	25	4	8	10	25	Y	White Sucker	Catostomus commersonii	NA	NA	30	NA	NA	1	NA	NA
